,Song,Artist(s),Writer(s),Album,Year,Lyrics,Type
0,The 1,Taylor Swift,Taylor Swift Aaron Dessner,Folklore,2020,"I'm doing good, I'm on some new shit
Been saying ""yes"" instead of ""no""
I thought I saw you at the bus stop, I didn't though
I hit the ground running each night
I hit the Sunday matinée
You know the greatest films of all time were never made

I guess you never know, never know
And if you wanted me, you really should've showed
And if you never bleed, you're never gonna grow
And it's alright now

But we were something, don't you think so?
Roaring twenties, tossing pennies in the pool
And if my wishes came true
It would've been you
In my defense, I have none
For never leaving well enough alone
But it would've been fun
If you would've been the one
(Ooh)

I have this dream you're doing cool shit
Having adventures on your own
You meet some woman on the internet and take her home
We never painted by the numbers, baby
But we were making it count
You know the greatest loves of all time are over now
I guess you never know, never know
And it's another day waking up alone

But we were something, don't you think so?
Roaring twenties, tossing pennies in the pool
And if my wishes came true
It would've been you
In my defense, I have none
For never leaving well enough alone
But it would've been fun
If you would've been the one

I, I, I persist and resist the temptation to ask you
If one thing had been different
Would everything be different today?

We were something, don't you think so?
Rosé flowing with your chosen family
And it would've been sweet
If it could've been me
In my defense, I have none
For digging up the grave another time
But it would've been fun
If you would've been the one
(Ooh)",Solo
1,22,Taylor Swift,Taylor Swift Max Martin Shellback,Red and Red (Taylor's Version),2012 and 2021,"It feels like a perfect night
To dress up like hipsters
And make fun of our exes
Uh-uh, uh-uh
It feels like a perfect night
For breakfast at midnight
To fall in love with strangers
Uh-uh, uh-uh

Yeah
We're happy, free, confused and lonely at the same time
It's miserable and magical, oh, yeah
Tonight's the night when we forget about the deadlines
It's time, oh-oh

I don't know about you
But I'm feeling twenty-two
Everything will be alright if
You keep me next to you
You don't know about me
But I'll bet you want to
Everything will be alright if
We just keep dancing like we're
Twenty-two, twenty-two
It seems like one of those nights
This place is too crowded
Too many cool kids
Uh-uh, uh-uh (Who's Taylor Swift, anyway? Ew)
It seems like one of those nights
We ditch the whole scene
And end up dreamin'
Instead of sleeping

Yeah
We're happy, free, confused and lonely in the best way
It's miserable and magical, oh, yeah
Tonight's the night when we forget about the heartbreaks
It's time, oh-oh

(Hey!) I don't know about you
But I'm feeling twenty-two
Everything will be alright if (Ooh)
You keep me next to you
You don't know about me
But I'll bet you want to
Everything will be alright if (Alright)
We just keep dancing like we're
Twenty-two (Oh-oh-oh-oh, oh), twenty-two (I don't know about you)
Twenty-two, twenty-two (Ooh)
It feels like one of those nights
We ditch the whole scene
It feels like one of those nights
We won't be sleepin'
It feels like one of those nights
You look like bad news
I gotta have you
I gotta have you (You)
Woah, ooh, yeah, eh-yeah

(Hey!) I don't know about you (I don't know about you)
But I'm feeling twenty-two
Everything will be alright if (Ooh)
You keep me next to you
You don't know about me (You don't know about me)
But I'll bet you want to
Everything will be alright if
We just keep dancing like we're (Dancing like we're twenty-two)
Twenty-two (Woah-oh), twenty-two (Dancing like)
Twenty-two (Yeah, yeah), twenty-two (Yeah, yeah, yeah)

It feels like one of those nights (Twenty-two)
We ditch the whole scene
It feels like one of those nights (Twenty-two)
We won't be sleeping
It feels like one of those nights (Twenty-two)
You look like bad news
I gotta have you
I gotta have you",Solo
2,Afterglow,Taylor Swift,Taylor Swift Louis Bell Adam King Feeney,Lover,2019,"I blew things out of proportion, now you're blue
Put you in jail for something you didn't do
I pinned your hands behind your back, oh
Thought I had reason to attack, but no

Fighting with a true love is boxing with no gloves
Chemistry 'til it blows up, 'til there's no us
Why'd I have to break what I love so much?
It's on your face, and I'm to blame, I need to say

Hey, it's all me, in my head
I'm the one who burned us down
But it's not what I meant
Sorry that I hurt you
I don't wanna do, I don't wanna do this to you (Ooh)
I don't wanna lose, I don't wanna lose this with you (Ooh)
I need to say, hey, it's all me, just don't go
Meet me in the afterglow

It's so excruciating to see you low
Just wanna lift you up and not let you go
This ultraviolet morning light below
Tells me this love is worth the fight, oh
I lived like an island, punished you with silence
Went off like sirens, just crying
Why'd I have to break what I love so much?
It's on your face, don't walk away, I need to say

Hey, it's all me, in my head
I'm the one who burned us down
But it's not what I meant
I'm sorry that I hurt you
I don't wanna do, I don't wanna do this to you (Ooh)
I don't wanna lose, I don't wanna lose this with you (Ooh)
I need to say, hey, it's all me, just don't go
Meet me in the afterglow

Tell me that you're still mine
Tell me that we'll be just fine
Even when I lose my mind
I need to say
Tell me that it's not my fault
Tell me that I'm all you want
Even when I break your heart
I need to say
Hey, it's all me, in my head
I'm the one who burned us down
But it's not what I meant
Sorry that I hurt you
I don't wanna do, I don't wanna do this to you (Ooh)
I don't wanna lose, I don't wanna lose this with you (Ooh)
I need to say, hey, it's all me, just don't go
Meet me in the afterglow",Solo
3,The Alcott,The National featuring Taylor Swift,Matt Berninger Aaron Dessner Taylor Swift,First Two Pages of Frankenstein,2023,"I get myself twisted in threads
To meet you at The Alcott
I'd go to the corner in the back
Where you'd always be
And there you are, sittin' as usual
With your golden notebook
Writin' something about someone
Who used to be me

And the last thing you wanted
Is the first thing I do
I tell you my problems
You tell me the truth
It's the last thing you wanted
It's the first thing I do
I tell you that I think I'm fallin'
Back in love with you

I sit there silently
Waitin' for you to look up (Ah)
I see you smile
When you see it's me
I had to do something
To break into your golden thinking (Ah)
How many times will I do this
And you'll still believe? (Ah)
It's the last thing you wanted
(Tell me, which side are you on, dear?)
It's the first thing you do
(Give me some tips to forget you)
You tell me your problems
(Have I become one of your problems?)
And I tell you the truth
(Could it be easy this once?)
It's the last thing you wanted
(Everything that's mine is a landmine)
It's the first thing I do
(Did my love aid and abet you?)
I tell you that I think I'm fallin'
Back in love with you

And I'll ruin it all over
I'll ruin it for you
I'll ruin it all over
And over like I always do
I'll ruin it all over
(Why don't you rain on my parade?)
I'll ruin it for you
(Shred my evening gown)
I'll ruin it all over
(Read my sentence out loud)
And over like I always do
('Cause I love this curse on our house)
It's the last thing I wanted
(Tell me, which side are you on, dear?)
It's the first thing I do
(Give me some tips to forget you)
I tell you my problems
(Have I become one of your problems?)
And you tell me the truth
(Could it be easy this once?)
It's the last thing I wanted
(Everything that's mine is a landmine)
It's the first thing I do
(Did my love aid and abet you?)
I tell you that I think I'm fallin'
Back in love (Back in love)
Back in love with you

Back in love with you",Feature
4,All of the Girls You Loved Before,Taylor Swift,Taylor Swift Louis Bell Adam King Feeney,Non-album promotional single[a],2023,"When you think of all the late nights
Lame fights over the phone
Wake up in the mornin' with someone
But feelin' alone

A heart is drawn around your name
In someone's handwriting, not mine
Sneakin' out into town
Holdin' hands, just killin' time

Your past and mine are parallel lines
Stars all aligned and they intertwined
And taught you
The way you call me ""baby""
Treat me like a lady
All that I can say is

All of the girls you loved before (Ooh)
Made you the one I've fallen for
Every dead-end street led you straight to me
Now you're all I need, I'm so thankful for
All of the girls you loved before
But I love you more
When I think of all the makeup
Fake love out on the town (Ooh)
Cryin' in the bathroom for some dude
Whose name I cannot remember now

Secret jokes all alone
No one's home, sixteen and wild (Ooh)
Breakin' up, makin' up
Leave without sayin' goodbye (Ooh)

And just know that
It's everything that made me
Now I call you ""baby""
It's why you're so amazing

All of the girls you loved before (Ooh)
Made you the one I've fallen for
Every dead-end street led you straight to me
Now you're all I need, I'm so thankful for
All of the girls you loved before
But I love you more
Your mother brought you up loyal and kind
Teenage love taught you there's good in goodbye
Every woman that you knew brought you here
I wanna teach you how forever feels like

The girls you loved before (Ooh)
Made you the one I've fallen for
Every dead-end street (Dead-end street) led you straight to me (Straight to me)
Now you're all I need (All I need), I'm so thankful for
All of the girls you loved before
But I love you more

(I love you more)
(I love you more)",Solo
5,All Too Well,Taylor Swift,Taylor Swift Liz Rose,Red and Red (Taylor's Version),2012 and 2021,"I walked through the door with you, the air was cold
But something 'bout it felt like home somehow
And I left my scarf there at your sister's house
And you've still got it in your drawer, even now

Oh, your sweet disposition and my wide-eyed gaze
We're singing in the car, getting lost upstate
Autumn leaves falling down like pieces into place
And I can picture it after all these days

And I know it's long gone and
That magic's not here no more
And I might be okay, but I'm not fine at all
Oh, oh, oh

'Cause there we are again on that little town street
You almost ran the red 'cause you were lookin' over at me
Wind in my hair, I was there
I remember it all too well

Photo album on the counter, your cheeks were turning red
You used to be a little kid with glasses in a twin-sized bed
And your mother's telling stories 'bout you on the tee-ball team
You taught me 'bout your past, thinking your future was me
And I know it's long gone and
There was nothing else I could do
And I forget about you long enough
To forget why I needed to
'Cause there we are again in the middle of the night
We're dancing 'round the kitchen in the refrigerator light
Down the stairs, I was there
I remember it all too well, yeah

Well, maybe we got lost in translation
Maybe I asked for too much
But maybe this thing was a masterpiece
'Til you tore it all up
Running scared, I was there
I remember it all too well
And you call me up again
Just to break me like a promise
So casually cruel in the name of being honest
I'm a crumpled up piece of paper lying here
'Cause I remember it all, all, all
Too well
Time won't fly, it's like I'm paralyzed by it
I'd like to be my old self again, but I'm still trying to find it
After plaid shirt days and nights when you made me your own
Now, you mail back my things and I walk home alone
But you keep my old scarf from that very first week
'Cause it reminds you of innocence and it smells like me
You can't get rid of it
'Cause you remember it all too well, yeah

'Cause there we are again when I loved you so
Back before you lost the one real thing you've ever known
It was rare, I was there
I remember it all too well

Wind in my hair, you were there
You remember it all
Down the stairs, you were there
You remember it all
It was rare, I was there
I remember it all too well",Solo
6,All Too Well (10 minute version),Taylor Swift,Taylor Swift Liz Rose,Red (Taylor's Version),2021,"I walked through the door with you, the air was cold
But somethin' 'bout it felt like home somehow
And I left my scarf there at your sister's house
And you've still got it in your drawer, even now

Oh, your sweet disposition and my wide-eyed gaze
We're singin' in the car, getting lost upstate
Autumn leaves fallin' down like pieces into place
And I can picture it after all these days

And I know it's long gone and
That magic's not here no more
And I might be okay, but I'm not fine at all
Oh, oh, oh

'Causе there we arе again on that little town street
You almost ran the red 'cause you were lookin' over at me
Wind in my hair, I was there
I remember it all too well

Photo album on the counter, your cheeks were turnin' red
You used to be a little kid with glasses in a twin-sized bed
And your mother's tellin' stories 'bout you on the tee-ball team
You taught me 'bout your past, thinkin' your future was me
And you were tossing me the car keys, ""Fuck the patriarchy""
Keychain on the ground, we were always skippin' town
And I was thinkin' on the drive down, ""Any time now
He's gonna say it's love,"" you never called it what it was
'Til we were dead and gone and buried
Check the pulse and come back swearin' it's the same
After three months in the grave
And then you wondered where it went to as I reached for you
But all I felt was shame and you held my lifeless frame
And I know it's long gone and
There was nothing else I could do
And I forget about you long enough
To forget why I needed to

'Cause there we are again in the middle of the night
We're dancin' 'round the kitchen in the refrigerator light
Down the stairs, I was there
I remember it all too well
And there we are again when nobody had to know
You kept me like a secret, but I kept you like an oath
Sacred prayer and we'd swear
To remember it all too well, yeah

Well, maybe we got lost in translation, maybe I asked for too much
But maybe this thing was a masterpiece 'til you tore it all up
Runnin' scared, I was there
I remember it all too well
And you call me up again just to break me like a promise
So casually cruel in the name of bein' honest
I'm a crumpled-up piece of paper lyin' here
'Cause I remember it all, all, all
They say all's well that ends well, but I'm in a new hell
Every time you double-cross my mind
You said if we had been closer in age, maybe it would've been fine
And that made me want to die
The idea you had of me, who was she?
A never-needy, ever-lovely jewel whose shine reflects on you
Not weepin' in a party bathroom
Some actress askin' me what happened, you
That's what happened, you
You who charmed my dad with self-effacing jokes
Sippin' coffee like you're on a late-night show
But then he watched me watch the front door all night, willin' you to come
And he said, ""It's supposed to be fun turning twenty-one""

Time won't fly, it's like I'm paralyzed by it
I'd like to be my old self again, but I'm still tryin' to find it
After plaid shirt days and nights when you made me your own
Now you mail back my things and I walk home alone
But you keep my old scarf from that very first week
'Cause it reminds you of innocence and it smells like me
You can't get rid of it
'Cause you remember it all too well, yeah

'Cause there we are again when I loved you so
Back before you lost the one real thing you've ever known
It was rare, I was there
I remember it all too well
Wind in my hair, you were there
You remember it all
Down the stairs, you were there
You remember it all
It was rare, I was there
I remember it all too well
And I was never good at tellin' jokes, but the punch line goes
""I'll get older, but your lovers stay my age""
From when your Brooklyn broke my skin and bones
I'm a soldier who's returning half her weight
And did the twin flame bruise paint you blue?
Just between us, did the love affair maim you too?
'Cause in this city's barren cold
I still remember the first fall of snow
And how it glistened as it fell
I remember it all too well

Just between us, did the love affair maim you all too well?
Just between us, do you remember it all too well?
Just between us, I remember it all too well (Just between us)
They say all's well that ends well, but I'm in a new hell
Every time you double-cross my mind
You said if we had been closer in age, maybe it would've been fine
And that made me want to die
The idea you had of me, who was she?
A never-needy, ever-lovely jewel whose shine reflects on you
Not weepin' in a party bathroom
Some actress askin' me what happened, you
That's what happened, you
You who charmed my dad with self-effacing jokes
Sippin' coffee like you're on a late-night show
But then he watched me watch the front door all night, willin' you to come
And he said, ""It's supposed to be fun turning twenty-one""
Wind in my hair, I was there, I was there
Down the stairs, I was there, I was there
Sacred prayer, I was there, I was there",Solo
7,All You Had to Do Was Stay,Taylor Swift,Taylor Swift Max Martin,1989,2014,"(Hey, hey, hey)
(Hey, hey, hey)
(Hey, hey, hey)
(Hey, hey, hey)

People like you always want back
The love they gave away
And people like me wanna believe you
When you say you've changed
The more I think about it now
The less I know
All I know is that you drove us
Off the road

(Stay) Hey, all you had to do was stay
Had me in the palm of your hand, then
Why'd you have to go and lock me out when I let you in?
(Stay) Hey, now you say you want it back
Now that it's just too late
Well, could've been easy
All you had to do was (Stay)

All you had to do was (Stay)
All you had to do was (Stay)
All you had to do was (Stay)
All you had to do was stay
Here you are now, calling me up
But I don't know what to say
I've been picking up the pieces
Of the mess you made
People like you always want back
The love they pushed aside
But people like me are gone forever
When you say goodbye

(Stay) Hey, all you had to do was stay
Had me in the palm of your hand, then
Why'd you have to go and lock me out when I let you in?
(Stay) Hey, now you say you want it back
Now that it's just too late
Well, could've been easy
All you had to do was (Stay)

All you had to do was (Stay)
All you had to do was (Stay)
All you had to do was (Stay, stay, stay, stay, stay)

Let me remind you
This was what you wanted (Oh, oh, oh-oh-oh)
You ended it
You were all I wanted (Oh, oh, oh-oh-oh)
But not like this
Not like this
Not like this
Oh, all you had to do was...
(Stay) Hey, all you had to do was stay
Had me in the palm of your hand, then
Why'd you want to go and lock me out when I let you in?
(Stay) Hey, now you say you want it back
Now that it's just too late
Well, could've been easy
All you had to do was...
(Stay) Hey, all you had to do was stay
Had me in the palm of your hand, then
Why'd you have to go and lock me out when I let you in?
(Stay) Hey, now you say you want it back
Now that it's just too late
Well, could've been easy (All you had to do was stay)
All you had to do was (Stay)

All you had to do was (Stay) (Oh)
All you had to do was (Stay)
All you had to do was (Stay) (Ooh)
All you had to do was (Stay)",Solo
8,American Girl (cover),Taylor Swift,Tom Petty,Non-album promotional single[b],2009,"Well, she was an American girl
Raised on promises
She couldn't help thinking that there was a little more to life
Somewhere else

After all it was a great big world
With lots of places to run to
And if she had to die trying
She had one little promise she was going to keep

Oh yeah, all right
Take it easy baby
Make it last all night
She was an American girl

Well, it was kind of cold that night
She stood alone on her balcony
She could see the cars roll by
Out on 441
Like waves crashing on the beach
And for one desperate moment there
He crept back in her memory
God, it's so painful
It's something that's so close but still so far out of reach
Oh yeah, all right
Take it easy baby
Make it last all night
She was an American girl

Oh yeah, all right
Take it easy baby
Make it last all night
Oh yeah, all right
Take it easy baby
Oh, take it easy now

Oh yeah, all right
She was an American girl",Cover
9,Anti-Hero,Taylor Swift,Taylor Swift Jack Antonoff,Midnights,2022,"I have this thing where I get older, but just never wiser
Midnights become my afternoons
When my depression works the graveyard shift, all of the people
I've ghosted stand there in the room

I should not be left to my own devices
They come with prices and vices
I end up in crisis
(Tale as old as time)
I wake up screaming from dreaming
One day, I'll watch as you're leaving
'Cause you got tired of my scheming
(For the last time)

It's me, hi
I'm the problem, it's me
At teatime, everybody agrees
I'll stare directly at the sun, but never in the mirror
It must be exhausting always rooting for the anti-hero

Sometimes, I feel like everybody is a sexy baby
And I'm a monster on the hill
Too big to hang out, slowly lurching toward your favorite city
Pierced through the heart, but never killed
Did you hear my covert narcissism I disguise as altruism
Like some kind of congressman?
(A tale as old as time)
I wake up screaming from dreaming
One day, I'll watch as you're leaving
And life will lose all its meaning
(For the last time)

It's me, hi
I'm the problem, it's me (I'm the problem, it's me)
At teatime, everybody agrees
I'll stare directly at the sun, but never in the mirror
It must be exhausting always rooting for the anti-hero

I have this dream my daughter-in-law kills me for the money
She thinks I left them in the will
The family gathers 'round and reads it and then someone screams out
""She's laughing up at us from Hell""

It's me, hi
I'm the problem, it's me
It's me, hi
I'm the problem, it's me
It's me, hi
Everybody agrees, everybody agrees
It's me, hi (Hi)
I'm the problem, it's me (I'm the problem, it's me)
At teatime (Teatime), everybody agrees (Everybody agrees)
I'll stare directly at the sun, but never in the mirror
It must be exhausting always rooting for the anti-hero",Solo
